iter	Passed	Remaining
402	9184	13606
403	9207	13582
404	9230	13560
405	9251	13535
406	9273	13511
407	9297	13489
408	9319	13467
409	9342	13443
410	9369	13427
411	9399	13414
412	9424	13394
413	9445	13369
414	9468	13347
415	9492	13326
416	9517	13306
417	9546	13292
418	9570	13270
419	9592	13247
420	9619	13230
421	9643	13207
422	9665	13184
423	9687	13160
424	9710	13137
425	9736	13119
426	9759	13096
427	9783	13075
428	9805	13051
429	9824	13022
430	9848	13001
431	9872	12980
432	9896	12959
433	9921	12938
434	9946	12918
435	9968	12894
436	9988	12868
437	10010	12844
438	10036	12826
439	10060	12803
440	10084	12782
441	10109	12762
442	10133	12741
443	10157	12719
444	10182	12699
445	10205	12676
446	10229	12655
447	10251	12631
448	10273	12607
449	10293	12580
450	10321	12563
451	10356	12555
452	10385	12540
453	10413	12523
454	10440	12506
455	10475	12496
456	10509	12486
457	10553	12489
458	10591	12484
459	10626	12474
460	10661	12465
461	10691	12450
462	10721	12435
463	10753	12421
464	10786	12410
465	10817	12395
466	10853	12387
467	10878	12366
468	10907	12348
469	10937	12333
470	10961	12310
471	10991	12295
472	11019	12277
473	11043	12255
474	11069	12234
475	11096	12215
476	11121	12193
477	11144	12170
478	11168	12147
479	11193	12126
480	11222	12109
481	11245	12085
482	11269	12063
483	11292	12039
484	11321	12021
485	11344	11997
486	11368	11975
487	11390	11951
488	11417	11931
489	11440	11907
490	11463	11884
491	11486	11860
492	11511	11838
493	11539	11820
494	11565	11799
495	11588	11775
496	11611	11751
497	11639	11733
498	11665	11711
499	11692	11692
500	11714	11668
501	11738	11644
502	11762	11622
503	11786	11599
504	11814	11580
505	11838	11558
506	11861	11534
507	11885	11510
508	11909	11488
509	11931	11463
510	11961	11446
511	11983	11421
512	12008	11399
513	12030	11375
514	12059	11357
515	12085	11336
516	12110	11314
517	12134	11291
518	12165	11274
519	12189	11251
520	12211	11226
521	12237	11206
522	12268	11189
523	12292	11166
524	12316	11143
525	12340	11120
526	12366	11098
527	12393	11078
528	12417	11055
529	12442	11033
530	12468	11012
531	12491	10989
532	12515	10965
533	12534	10938
534	12561	10918
535	12590	10898
536	12613	10875
537	12636	10851
538	12661	10828
539	12685	10806
540	12711	10785
541	12734	10760
542	12762	10741
543	12786	10717
544	12812	10696
545	12835	10672
546	12859	10649
547	12885	10627
548	12918	10612
549	12944	10590
550	12968	10567
551	12992	10544
552	13019	10523
553	13046	10503
554	13070	10479
555	13094	10456
556	13120	10435
557	13146	10413
558	13171	10390
559	13193	10366
560	13217	10343
561	13242	10320
562	13264	10296
563	13288	10272
564	13312	10249
565	13339	10228
566	13364	10205
567	13386	10181
568	13415	10162
569	13443	10141
570	13464	10116
571	13489	10093
572	13515	10071
573	13544	10052
574	13572	10031
575	13594	10007
576	13618	9983
577	13645	9962
578	13673	9941
579	13697	9918
580	13717	9892
581	13741	9869
582	13796	9868
583	13819	9844
584	13845	9821
585	13870	9799
586	13898	9778
587	13919	9753
588	13944	9730
589	13977	9713
590	14001	9689
591	14024	9665
592	14046	9640
593	14074	9619
594	14096	9595
595	14117	9569
596	14144	9548
597	14170	9526
598	14202	9507
599	14228	9485
600	14248	9459
601	14271	9435
602	14294	9410
603	14311	9383
604	14336	9360
605	14357	9334
606	14379	9310
607	14408	9289
608	14429	9264
609	14450	9239
610	14480	9218
611	14510	9199
612	14535	9176
613	14564	9156
614	14592	9135
615	14620	9114
616	14640	9088
617	14659	9061
618	14684	9038
619	14709	9015
620	14729	8989
621	14751	8964
622	14774	8940
623	14803	8919
624	14827	8896
625	14848	8870
626	14866	8843
627	14892	8821
628	14912	8795
629	14934	8770
630	14991	8766
631	15035	8755
632	15060	8731
633	15082	8706
634	15108	8684
635	15130	8659
636	15157	8637
637	15177	8611
638	15201	8588
639	15226	8565
640	15251	8541
641	15276	8518
642	15303	8496
643	15329	8473
644	15353	8450
645	15378	8427
646	15405	8404
647	15431	8382
648	15456	8359
649	15477	8333
650	15498	8308
651	15527	8287
652	15554	8265
653	15580	8242
654	15607	8220
655	15632	8197
656	15654	8172
657	15676	8148
658	15699	8123
659	15722	8099
660	15742	8073
661	15766	8049
662	15791	8026
663	15815	8003
664	15842	7980
665	15869	7958
666	15892	7934
667	15913	7909
668	15936	7884
669	15963	7862
670	15984	7837
671	16006	7812
672	16029	7788
673	16052	7764
674	16075	7740
675	16101	7717
676	16124	7693
677	16147	7668
678	16168	7643
679	16189	7618
680	16209	7592
681	16230	7567
682	16251	7542
683	16272	7517
684	16297	7494
685	16319	7469
686	16343	7446
687	16367	7422
688	16391	7398
689	16414	7374
690	16437	7350
691	16458	7325
692	16482	7301
693	16504	7277
694	16525	7252
695	16549	7228
696	16573	7204
697	16602	7183
698	16620	7157
699	16638	7130
700	16656	7104
701	16673	7077
702	16691	7051
703	16713	7027
704	16729	7000
705	16748	6974
706	16764	6947
707	16780	6920
708	16801	6895
709	16820	6870
710	16838	6844
711	16856	6818
712	16872	6791
713	16892	6766
714	16913	6741
715	16932	6716
716	16950	6690
717	16967	6664
718	16985	6638
719	17007	6614
720	17024	6587
721	17042	6562
722	17062	6537
723	17081	6511
724	17102	6487
725	17122	6462
726	17145	6438
727	17163	6412
728	17184	6388
729	17203	6363
730	17226	6339
731	17249	6315
732	17265	6289
733	17282	6263
734	17302	6238
735	17323	6213
736	17341	6188
737	17358	6162
738	17377	6137
739	17395	6111
740	17412	6086
741	17431	6061
742	17450	6036
743	17470	6011
744	17489	5986
745	17506	5960
746	17525	5935
747	17545	5910
748	17563	5885
749	17580	5860
750	17598	5835
751	17617	5810
752	17639	5786
753	17655	5760
754	17673	5735
755	17689	5709
756	17707	5684
757	17726	5659
758	17747	5635
759	17764	5609
760	17783	5585
761	17802	5560
762	17820	5535
763	17837	5509
764	17856	5485
765	17873	5460
766	17894	5435
767	17911	5410
768	17929	5385
769	17952	5362
770	17971	5337
771	17988	5312
772	18003	5286
773	18023	5262
774	18043	5238
775	18066	5215
776	18088	5191
777	18109	5167
778	18129	5143
779	18151	5119
780	18171	5095
781	18190	5070
782	18206	5045
783	18224	5020
784	18241	4996
785	18260	4971
786	18282	4948
787	18300	4923
788	18321	4899
789	18338	4874
790	18353	4849
791	18376	4826
792	18392	4801
793	18412	4777
794	18428	4751
795	18445	4727
796	18465	4703
797	18483	4678
798	18500	4654
799	18517	4629
800	18536	4605
801	18555	4581
802	18579	4558
803	18601	4534
804	18623	4511
805	18641	4486
806	18659	4462
807	18675	4437
808	18696	4414
809	18715	4390
810	18733	4365
811	18751	4341
812	18780	4319
813	18800	4295
814	18817	4271
815	18836	4247
816	18853	4222
817	18876	4199
818	18897	4176
819	18917	4152
820	18936	4128
821	18954	4104
822	18969	4079
823	18986	4055
824	19006	4031
825	19022	4007
826	19040	3983
827	19059	3959
828	19082	3936
829	19101	3912
830	19121	3888
831	19141	3865
832	19160	3841
833	19179	3817
834	19200	3794
835	19225	3771
836	19242	3747
837	19261	3723
838	19281	3700
839	19300	3676
840	19317	3652
841	19337	3628
842	19356	3604
843	19376	3581
844	19394	3557
845	19416	3534
846	19436	3510
847	19453	3486
848	19473	3463
849	19492	3439
850	19511	3416
851	19532	3393
852	19552	3369
853	19571	3345
854	19589	3322
855	19606	3298
856	19626	3274
857	19650	3252
858	19670	3228
859	19689	3205
860	19706	3181
861	19726	3158
862	19743	3134
863	19762	3110
864	19780	3087
865	19799	3063
866	19819	3040
867	19834	3016
868	19850	2992
869	19870	2969
870	19888	2945
871	19911	2922
872	19932	2899
873	19950	2876
874	19966	2852
875	19984	2828
876	20000	2805
877	20018	2781
878	20036	2758
879	20057	2735
880	20077	2711
881	20096	2688
882	20115	2665
883	20131	2641
884	20150	2618
885	20171	2595
886	20190	2572
887	20209	2548
888	20226	2525
889	20245	2502
890	20269	2479
891	20287	2456
892	20305	2432
893	20321	2409
894	20339	2386
895	20369	2364
896	20402	2342
897	20431	2320
898	20465	2299
899	20487	2276
900	20520	2254
901	20552	2232
902	20580	2210
903	20619	2189
904	20643	2167
905	20673	2144
906	20707	2123
907	20739	2101
908	20773	2079
909	20802	2057
910	20832	2035
911	20861	2012
912	20894	1991
913	20928	1969
914	20960	1947
915	20985	1924
916	21021	1902
917	21057	1880
918	21091	1859
919	21130	1837
920	21160	1815
921	21190	1792
922	21219	1770
923	21252	1748
924	21284	1725
925	21313	1703
926	21341	1680
927	21362	1657
928	21386	1634
929	21406	1611
930	21427	1588
931	21453	1565
932	21476	1542
933	21500	1519
934	21522	1496
935	21547	1473
936	21572	1450
937	21597	1427
938	21625	1404
939	21649	1381
940	21674	1359
941	21698	1336
942	21720	1312
943	21745	1289
944	21768	1266
945	21790	1243
946	21811	1220
947	21836	1197
948	21862	1174
949	21888	1152
950	21912	1129
951	21934	1105
952	21958	1082
953	21986	1060
954	22009	1037
955	22028	1013
956	22050	990
957	22075	967
958	22105	945
959	22131	922
960	22157	899
961	22180	876
962	22202	853
963	22225	829
964	22257	807
965	22281	784
966	22305	761
967	22329	738
968	22351	715
969	22375	692
970	22399	668
971	22424	645
972	22445	622
973	22467	599
974	22489	576
975	22512	553
976	22538	530
977	22561	507
978	22584	484
979	22608	461
980	22632	438
981	22657	415
982	22684	392
983	22707	369
984	22730	346
985	22753	323
986	22776	299
987	22801	276
988	22824	253
989	22851	230
990	22875	207
991	22896	184
992	22921	161
993	22947	138
994	22971	115
995	22992	92
996	23015	69
997	23038	46
998	23069	23
999	23092	0
