iter	RMSE
694	815.7516261
695	813.6502974
696	812.6450619
697	810.5690595
698	808.5959703
699	808.324464
700	806.3995316
701	804.5218556
702	802.8377441
703	800.8037729
704	797.6278309
705	794.5163927
706	792.4193201
707	790.6738864
708	787.8469513
709	785.813424
710	784.1292121
711	782.5046157
712	780.927716
713	779.3464883
714	777.1167421
715	775.5864871
716	773.4808045
717	772.9567411
718	771.2040621
719	768.5937136
720	766.6827034
721	765.1944237
722	764.6987132
723	764.2151242
724	762.7836379
725	762.3123572
726	760.0717681
727	758.9074722
728	756.7110494
729	754.539675
730	752.6815523
731	751.8560055
732	749.6988859
733	747.0231688
734	746.2074063
735	743.8160824
736	743.1863794
737	741.2955216
738	739.8397407
739	739.0598211
740	737.2188992
741	734.6741957
742	732.9472059
743	731.5486302
744	729.8996443
745	728.4575868
746	727.0516484
747	725.0261981
748	724.2646839
749	722.6932499
750	721.6731913
751	719.6628312
752	717.7183386
753	716.8118803
754	715.749342
755	714.712985
756	713.8316658
757	711.962207
758	710.054811
759	707.8429836
760	706.0454098
761	703.4436922
762	701.6366021
763	699.0581485
764	696.7998439
765	696.115692
766	694.6442049
767	692.3076676
768	690.2213257
769	688.3401397
770	686.1920755
771	684.0121685
772	683.2702077
773	681.6136527
774	679.0179216
775	676.8273495
776	675.101863
777	673.5071886
778	671.9881117
779	671.0498809
780	668.877177
781	667.2342233
782	666.1461504
783	665.1417678
784	664.1413931
785	662.7993304
786	661.3971125
787	660.761879
788	659.886642
789	658.1014604
790	657.0707098
791	655.7179876
792	653.9942452
793	652.3497752
794	651.7336762
795	649.8170573
796	648.9832439
797	648.0301117
798	647.436548
799	646.506042
800	645.3251165
801	643.6960825
802	642.1102192
803	640.6437743
804	640.2552164
805	639.6806399
806	638.4187807
807	637.5147766
808	636.2620897
809	635.8864637
810	634.2344025
811	633.0446025
812	631.6468076
813	629.9953478
814	629.1314037
815	627.9846142
816	626.790721
817	625.334094
818	624.9978565
819	623.6691981
820	622.4955332
821	621.3523557
822	620.4513408
823	619.3343165
824	617.1946193
825	616.3612951
826	614.8810994
827	613.437206
828	612.0286515
829	610.4900711
830	609.6930484
831	607.9394115
832	607.4447699
833	605.2598549
834	603.8914514
835	602.1126918
836	601.2143601
837	600.8584441
838	598.8553078
839	598.2630896
840	597.476772
841	596.942364
842	596.5953316
843	595.6638279
844	594.928652
845	594.4108116
846	593.827763
847	593.4985065
848	592.0373544
849	590.9567133
850	589.920636
851	588.9244402
852	588.3603371
853	587.3520112
854	585.9669317
855	584.8426083
856	583.9828861
857	583.0032052
858	580.6674219
859	580.1485401
860	579.6643932
861	578.6911844
862	578.0222276
863	577.0807394
864	575.5858334
865	574.6679495
866	574.0207025
867	573.7528197
868	572.2925697
869	571.7433385
870	571.0471814
871	570.037522
872	569.5650845
873	568.6762362
874	568.3335346
875	567.4980653
876	566.6043052
877	565.8682567
878	564.8715015
879	564.4101251
880	562.3010735
881	561.5346431
882	559.4859235
883	558.7453403
884	556.7551253
885	554.9571171
886	553.2108654
887	552.7732651
888	551.8589612
889	550.5573677
890	549.0638085
891	548.2744625
892	547.7120321
893	546.6723466
894	546.2119291
895	545.8043505
896	544.9092604
897	543.2584568
898	541.6551347
899	541.1254081
900	539.9655283
901	539.5277341
902	539.1034135
903	538.3598496
904	537.8459417
905	536.7542576
906	536.2594679
907	534.5513667
908	533.7132492
909	532.7000948
910	531.8056336
911	530.6584062
912	530.4372041
913	528.8026487
914	527.202
915	526.1042284
916	525.5394914
917	523.8256269
918	522.9119483
919	522.0214253
920	521.1611267
921	520.2936461
922	519.0089226
923	518.3015423
924	517.6084795
925	516.6510178
926	515.9701851
927	514.8379356
928	514.4230414
929	513.6014623
930	512.6901167
931	511.5576841
932	510.7260854
933	510.3386549
934	509.0082776
935	507.4214566
936	506.6153886
937	506.1881033
938	505.4473985
939	505.106788
940	504.2101015
941	502.7808975
942	501.8449149
943	501.3939058
944	500.4798209
945	499.2166075
946	498.7787439
947	497.5467905
948	496.7270485
949	496.0476164
950	495.006699
951	494.4845572
952	493.3834628
953	492.8199268
954	492.0205716
955	491.1948997
956	490.3667931
957	490.1302785
958	489.3114107
959	488.6518474
960	488.1964736
961	486.8791471
962	486.0017685
963	484.7140937
964	484.4428358
965	483.7014873
966	483.1554457
967	482.6063278
968	482.1795918
969	481.2132271
970	480.704666
971	479.6997932
972	478.3130428
973	477.2555262
974	477.0896735
975	476.4857343
976	476.1205602
977	475.004245
978	474.2096265
979	473.5773862
980	472.8006173
981	472.1651002
982	470.7600371
983	470.4998857
984	469.8261427
985	469.496477
986	469.1758087
987	468.8384276
988	468.1120011
989	467.8843746
990	467.3566371
991	467.0239245
992	466.827932
993	466.1094293
994	465.4586445
995	464.8867251
996	464.376586
997	463.8785643
998	463.6605882
999	462.7470666
