appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
2310,Quake,"id Software, Nightdive Studios, MachineGames",Bethesda Softworks,,13926,474,0,"1,000,000 .. 2,000,000",379,151,71,295,999.0,999.0,0.0,82
2320,Quake II,"id Software, Nightdive Studios, MachineGames",Bethesda Softworks,,8821,407,0,"1,000,000 .. 2,000,000",685,0,147,0,999.0,999.0,0.0,80
2400,The Ship: Murder Party,Outerlight Ltd.,Blazing Griffin,,5108,842,0,"1,000,000 .. 2,000,000",292,0,170,0,999.0,999.0,0.0,3
2450,Bloody Good Time,Outerlight Ltd.,Ubisoft,,839,231,0,"100,000 .. 200,000",240,0,130,0,499.0,499.0,0.0,0
2570,Vigil: Blood Bitterness,Freegamer,,,30,117,0,"50,000 .. 100,000",3,0,4,0,0.0,0.0,0.0,0
2600,Vampire: The Masquerade - Bloodlines,Troika Games,Activision,,13141,727,0,"500,000 .. 1,000,000",955,24,165,28,999.0,1999.0,50.0,104
2620,Call of Duty (2003),Infinity Ward,Activision,,6524,371,0,"500,000 .. 1,000,000",283,0,262,0,1999.0,1999.0,0.0,60
2630,Call of Duty 2,Infinity Ward,Activision,,9804,670,0,"5,000,000 .. 10,000,000",789,0,443,0,1999.0,1999.0,0.0,162
2640,Call of Duty: United Offensive,Gray Matter Studios,Activision,,1872,281,0,"200,000 .. 500,000",311,198,243,198,1499.0,1999.0,25.0,17
2700,RollerCoaster Tycoon 3: Platinum,"Frontier, Aspyr (Mac)","Frontier, Aspyr (Mac)",,4754,425,0,"500,000 .. 1,000,000",836,0,255,0,0.0,0.0,0.0,32
2710,Act of War: Direct Action,Eugen Systems,THQ Nordic,,511,56,0,"100,000 .. 200,000",384,0,617,0,119.0,299.0,60.0,12
2720,ThreadSpace: Hyperbol,Iocaine Studios,,,35,12,0,"0 .. 20,000",94,0,94,0,499.0,499.0,0.0,1
